A Y Jackson Secondary School,NORTH YORK,12.1
Agincourt Collegiate Institute,AGINCOURT,10.9
All Saints Catholic High School,KANATA,10.5 (2017)
Ancaster High School,ANCASTER,21.2
Bell High School,NEPEAN,11.4
Bishop Macdonell Catholic High School,GUELPH,22.6
Bishop Tonnos Catholic Secondary School,ANCASTER,21.1 (2017)
Centennial Collegiate Vocational Institute,GUELPH,12.3
Colonel By Secondary School,GLOUCESTER,12.3
Don Mills Collegiate Institute,DON MILLS,9.9
Dr Norman Bethune Collegiate Institute,AGINCOURT,11
Earl of March Secondary School,KANATA,10.5
Eastwood Collegiate Institute,KITCHENER,21.9
Elmira District Secondary School,ELMIRA,12.1
Forest Heights Collegiate Institute,KITCHENER,13.5 (2017)
Galt Collegiate Institute - Vocational School,CAMBRIDGE,21
George S Henry Academy,NORTH YORK,21.5
Governor Simcoe Secondary School,ST CATHARINES,19.8
Great Lakes College of Toronto,TORONTO,25.3
Grimsby Secondary School,GRIMSBY,27.1
Guelph Collegiate Vocational Institute,GUELPH,10.6
Hamilton District Christian High School,ANCASTER,12.8
Jarvis Collegiate Institute,TORONTO,22.2
King's Christian Collegiate,OAKVILLE,23
L'Amoreaux Collegiate Institute,AGINCOURT,9.1
Lawrence Park Collegiate Institute,TORONTO,10
Lester B Pearson Collegiate Institute,SCARBOROUGH,19.5 (2017)
Lisgar Collegiate Institute,OTTAWA,12.8 (2017)
London Central Secondary School,LONDON,11.5
Marc Garneau Collegiate Institute,DON MILLS,12.8
Markham District High School,MARKHAM,13.7 (2017)
Markville Secondary School,MARKHAM,13
Martingrove Collegiate Institute,ETOBICOKE,13.1
Milliken Mills High School,UNIONVILLE,11.3
Milton District High School,MILTON,11.8 (2016)
Nepean High School,OTTAWA,9.9
Newmarket High School,NEWMARKET,12.9 (2016)
North Albion Collegiate Institute,ETOBICOKE,21.4
North Park Secondary School,BRAMPTON,
Northern Secondary School,TORONTO,13.4
Northview Heights Secondary School,NORTH YORK,10.3
Notre Dame Secondary School,BRAMPTON,21.2
Orchard Park Secondary School,STONEY CREEK,13.8 (2016)
Pickering High School,AJAX,12.7
Pierre Elliott Trudeau High School,MARKHAM,11
Richmond Hill High School,RICHMOND HILL,11.8
Robert Bateman High School,BURLINGTON,20.8
Silverthorn Collegiate Institute,ETOBICOKE,20
Sinclair Secondary School,WHITBY,12.8 (2017)
Sir John A Macdonald Collegiate Institute,AGINCOURT,10.7
Sir Wilfrid Laurier Collegiate Institute,SCARBOROUGH,20.1
Sir Winston Churchill Secondary School,ST CATHARINES,19.9
Southern Ontario College,HAMILTON,25.9
St Aloysius Gonzaga Secondary School,MISSISSAUGA,12.8
St David Catholic Secondary School,WATERLOO,20.4
St Louis Adult Learning Centre,KITCHENER,27.1 (2016)
St Michael High School,NIAGARA FALLS,23.7 (2017)
St Peter's Secondary School,PETERBOROUGH,22.9
St Robert Catholic High School,THORNHILL,14.2 (2016)
St Theresa Lisieux Catholic High School,RICHMOND HILL,13
St Thomas Aquinas Secondary School,OAKVILLE,24.7
Stephen Lewis Secondary School,MISSISSAUGA,12.4
Streetsville Secondary School,STREETSVILLE,12 (2017)
Thornhill Secondary School,THORNHILL,12
Turner Fenton Secondary School,BRAMPTON,18.2
Unionville High School,UNIONVILLE,13
Vaughan Secondary School,THORNHILL,23.9 (2016)
Vincent Massey Secondary School,WINDSOR,11.3 (2017)
Waterloo Collegiate Institute,WATERLOO,14 (2016)
William Lyon Mackenzie Collegiate Institute,NORTH YORK,13.6
Woodland Christian High School,BRESLAU,19.8
York Memorial Collegiate Institute,TORONTO,11.1
York Mills Collegiate Institute,DON MILLS,13.2